
Alabama	964	6	313	16.37	69.6	13.84	-1
Ohio	958	16	306	16.52	71.5	21.43	1
NewHampshire	925	56	248	16.35	78.1	20.33	1
Alaska	923	31	401	15.32	96.5	50.1	1
Nevada	917	18	288	14.73	89.1	21.79	-1
Oregon	908	40	261	14.48	92.1	30.49	1
Vermont	904	54	225	16.5	84.2	20.17	1
California	899	36	293	15.52	83	25.94	1
Delaware	897	42	277	16.95	67.9	27.81	1
Connecticut	896	69	287	16.75	76.8	26.97	1
NewYork	896	59	236	16.86	80.4	33.58	1
Maine	890	46	208	16.05	85.7	20.55	1
Florida	889	39	255	15.91	80.5	22.62	1
Maryland	889	50	312	16.9	80.4	25.41	1
Virginia	888	52	295	16.08	88.8	22.23	1
Massachusetts	888	65	246	16.79	80.7	31.74	1
Pennsylvania	885	50	241	17.27	78.6	27.98	1
RhodeIsland	877	59	228	16.67	79.7	25.59	1
NewJersey	869	64	269	16.37	80.6	27.91	1
Texas	868	32	303	14.95	91.7	19.55	1
