Iowa	1088	3	326	16.79	87.8	25.6	-1
SouthDakota	1075	2	264	16.07	86.2	19.95	-1
NorthDakota	1068	3	317	16.57	88.3	20.62	-1
Kansas	1045	5	338	16.3	83.9	27.14	1
Nebraska	1045	5	293	17.25	83.6	21.05	-1
Montana	1033	8	263	15.91	93.7	29.48	-1
Minnesota	1028	7	343	17.41	78.3	24.84	-1
Utah	1022	4	333	16.57	75.2	17.42	-1
Wyoming	1017	5	328	16.01	97	25.96	-1
Wisconsin	1011	10	304	16.85	77.3	27.69	-1
Oklahoma	1001	5	358	15.95	74.2	20.07	-1
Arkansas	999	4	295	15.49	86.4	15.71	-1
Tennessee	999	9	330	15.72	61.2	14.58	-1
NewMexico	997	8	316	15.92	79.5	22.19	-1
Idaho	995	7	285	16.18	92.1	17.8	-1
SouthCarolina	790	48	214	15.42	88.1	15.6	1
